provinsi_id,kabupaten_id,kepadatan_penduduk,tingkat_pendidikan,tingkat_pengangguran,akses_air_bersih,akses_listrik,fasilitas_kesehatan,jalan_aspal,luas_sawah,pendapatan_perkapita,jenis_wilayah,kemiskinan
25,378,37.0,5.11,2.82,77.64,56.66,14,86.31,1184.64,1427202.05,rural,1
6,330,361.28,11.29,6.79,92.46,97.18,16,64.42,6565.22,597263.03,rural,0
20,390,11.79,10.0,2.53,84.72,93.64,15,84.88,10547.32,2172413.76,urban,0
22,300,1647.65,10.5,5.48,60.3,92.41,17,76.0,857.64,619878.66,rural,0
15,195,660.89,9.55,4.92,77.04,87.96,14,29.62,3212.88,322197.12,urban,0
7,316,95.24,7.98,3.83,72.25,92.15,19,41.88,9908.71,3583300.55,rural,0
18,129,133.79,9.92,3.65,89.64,72.41,17,93.07,5462.83,1739641.64,urban,0
11,448,1211.52,9.43,4.51,68.18,61.95,20,57.53,4945.76,1372216.77,rural,1
26,161,113.63,10.96,3.95,90.16,71.44,19,46.68,6432.63,2095666.69,urban,0
23,465,396.97,9.95,9.87,96.05,97.77,16,42.31,13820.3,294744.47,urban,0
4,376,689.07,12.45,5.28,83.39,62.35,12,44.39,4638.32,6736345.63,urban,0
2,479,541.95,8.22,17.88,55.17,96.79,11,68.99,1329.49,718119.46,rural,0
34,493,110.95,9.92,2.6,71.16,87.43,19,47.58,4169.27,2711866.56,urban,0
13,61,67.71,6.21,3.2,85.08,92.23,12,60.69,6094.41,839158.14,rural,0
32,372,81.02,14.16,2.48,68.53,95.71,23,43.51,347.2,1645616.17,urban,0
31,23,368.61,8.69,3.51,68.21,84.82,11,84.02,2108.8,861471.34,urban,1
20,226,941.19,7.88,5.47,86.59,86.93,11,75.74,2543.61,1192716.17,urban,0
8,399,31.99,7.48,1.18,86.66,80.65,17,83.28,4153.8,2141891.98,urban,0
26,142,1172.09,10.14,7.13,50.47,61.07,20,73.1,2924.99,6917085.86,urban,0
21,357,2221.46,9.37,3.73,96.08,92.08,13,23.81,5028.17,959304.87,rural,0
13,502,31.44,8.05,4.47,84.43,95.56,10,56.77,9249.53,7476886.42,urban,0
18,286,739.69,7.61,6.43,77.58,85.26,17,37.46,25.91,7924936.59,urban,0
32,289,10.57,7.99,8.14,64.57,84.45,24,71.44,5107.52,921746.4,urban,1
21,345,36.35,3.52,3.12,91.66,59.73,16,84.69,191.32,2865799.71,urban,0
3,24,92.66,10.25,3.65,87.98,91.7,19,72.31,6476.74,3605729.47,rural,0
31,141,34.22,4.09,11.14,91.21,71.48,19,61.8,584.3,1695315.65,urban,1
5,353,3.32,8.28,3.07,55.5,86.37,16,86.54,424.7,1918029.27,urban,0
7,484,67.74,11.38,12.06,70.59,67.8,16,55.55,969.18,8287949.38,urban,0
23,403,5905.77,5.64,1.76,74.59,73.5,18,47.81,11349.15,1189468.41,urban,1
11,341,305.27,9.84,3.26,73.72,78.94,22,41.69,188.64,1814757.46,urban,0
29,136,374.49,7.45,3.22,92.65,72.76,20,81.37,2450.94,8991523.98,urban,0
33,468,72.98,8.8,3.44,79.54,95.49,12,39.3,7430.65,5280482.18,urban,0
9,344,67.84,8.91,1.44,95.44,72.99,18,74.01,5350.14,2723709.7,urban,0
5,123,323.81,9.14,7.25,81.43,97.28,12,78.02,5443.99,1707847.46,urban,0
27,8,53.38,9.77,6.15,95.3,96.29,9,64.69,8883.41,1977171.75,urban,0
4,265,138.68,6.09,5.48,72.03,61.54,21,80.54,12364.07,1512565.33,urban,1
29,163,89.75,8.2,1.26,86.8,81.05,20,70.18,2046.73,8108643.55,urban,0
7,449,538.85,9.42,16.3,81.55,99.44,13,44.95,10231.44,2434875.02,rural,0
2,144,594.04,10.7,4.25,93.03,83.61,21,79.29,3903.01,498438.57,rural,0
23,337,24.86,5.58,3.39,71.49,93.63,11,61.72,3180.25,1856516.5,urban,0
22,130,64.44,8.22,10.7,93.28,94.14,14,44.7,8949.43,7883671.65,rural,0
2,324,309.97,4.94,5.25,83.53,82.37,14,40.53,3435.15,793567.68,urban,1
20,286,46.24,10.71,3.95,93.1,90.77,19,54.58,10280.25,1737953.87,rural,0
4,337,318.71,7.35,3.74,32.32,80.98,14,80.27,2977.73,1295734.42,urban,1
21,201,8.75,10.59,5.13,79.97,75.1,15,61.63,1463.55,1623168.49,urban,1
19,328,40.24,12.82,3.81,75.96,87.71,6,63.96,1769.71,1271076.78,rural,0
23,472,356.74,6.17,10.57,82.98,84.41,16,51.1,3316.07,6272722.98,urban,0
12,360,45.12,10.81,25.85,48.97,90.72,18,70.15,11386.45,1397297.57,urban,0
9,184,150.69,8.67,2.44,92.33,81.98,13,70.75,4320.39,2271569.64,rural,0
23,385,280.54,9.05,2.6,94.97,88.6,15,66.05,10919.28,620972.68,rural,0
6,459,328.46,7.63,4.87,75.9,87.34,11,95.26,1299.59,3463007.7,urban,0
16,418,398.4,9.87,6.16,97.98,91.15,18,75.3,3472.71,8750345.58,urban,0
30,284,18.81,9.65,3.13,94.8,75.87,12,80.99,165.04,968737.08,urban,0
3,76,11.2,4.87,7.27,86.73,82.92,10,57.39,9209.88,1337687.25,urban,1
8,109,78.07,5.79,24.96,74.06,71.77,11,48.31,10715.82,2293737.19,urban,0
9,474,593.26,8.28,12.58,85.03,72.07,15,91.86,6593.44,2774557.81,urban,0
22,195,273.17,11.7,1.9,65.72,65.1,20,65.22,4283.88,2847902.11,urban,0
13,248,12.91,6.01,4.76,59.55,92.42,23,69.82,6271.15,6044536.22,urban,0
8,256,51.07,11.17,9.81,66.97,93.89,16,49.46,232.15,5643425.36,urban,0
23,328,367.92,11.16,8.83,82.82,78.14,16,82.89,5161.27,1070568.02,urban,0
32,234,56.19,8.17,1.37,89.84,86.32,13,80.35,6411.8,738007.37,rural,0
28,405,2639.8,8.44,5.3,83.41,91.6,19,63.94,1369.47,1088623.19,rural,0
28,23,179.81,10.49,4.44,97.32,97.15,18,78.44,11340.82,1092969.44,urban,0
27,202,1139.06,8.0,10.16,74.61,65.36,17,61.72,1195.68,1494193.73,urban,1
26,172,94.09,8.95,2.11,77.47,97.63,17,92.19,46.25,928488.41,urban,0
5,326,50.14,7.25,0.28,62.7,72.75,14,60.51,19280.86,2636099.59,urban,0
30,310,4.89,9.56,8.66,81.05,85.41,8,46.54,3606.88,1938200.76,urban,0
27,154,322.8,7.3,4.48,60.86,84.61,8,58.9,4951.65,4825376.08,urban,0
9,32,419.58,7.42,5.61,70.91,95.01,16,66.09,4724.42,2982799.54,rural,0
1,213,7751.87,9.35,11.34,75.2,75.13,13,85.34,344.71,5134440.22,urban,0
21,219,3911.71,4.83,7.46,74.82,88.11,17,86.81,5412.04,689685.21,urban,1
9,459,68.83,5.19,5.12,58.73,51.59,14,68.98,873.71,2111911.67,rural,0
31,91,630.93,11.55,8.62,49.68,93.97,10,74.79,3785.71,1022736.39,urban,0
3,309,821.7,5.5,2.82,79.02,60.76,22,84.83,10713.58,2566827.21,rural,0
29,418,2262.27,6.29,8.83,69.11,76.38,8,46.89,210.72,3181213.61,urban,0
13,55,557.51,7.98,4.68,72.81,86.66,17,64.31,346.89,1147572.89,rural,1
13,437,598.25,5.83,3.68,81.12,71.74,15,64.48,90.21,499684.59,urban,1
15,324,695.27,3.22,5.08,50.21,87.45,13,60.29,7360.67,609471.2,rural,1
15,105,8.05,8.09,0.32,81.17,91.15,16,59.33,114.61,1596966.97,rural,0
8,306,65.92,5.89,7.13,80.27,90.31,13,83.25,6079.37,1475928.69,rural,0
27,334,35.84,10.12,6.37,79.82,74.5,9,47.67,1723.93,1356595.2,rural,1
12,490,129.33,7.86,2.36,86.34,93.18,19,54.17,4862.43,2221868.41,rural,0
32,256,205.89,7.19,12.85,79.33,70.41,18,34.76,10252.76,1207957.86,urban,1
20,30,370.5,6.13,2.34,69.61,98.23,11,85.37,7314.95,2137482.82,urban,0
2,354,33.37,5.47,1.83,78.06,69.85,16,78.49,4089.94,259804.14,rural,1
2,321,60.19,-0.4,1.61,70.53,53.81,17,73.38,4605.46,826203.78,rural,1
3,47,112.27,10.61,4.24,64.69,84.35,14,47.1,1117.41,7624362.26,urban,0
5,255,782.41,7.67,6.56,53.89,89.18,14,70.8,348.22,2066003.05,urban,0
22,421,88.67,10.37,2.65,58.54,84.12,17,58.06,8935.78,2866919.76,rural,0
20,135,29.09,12.9,7.96,78.91,85.38,10,65.33,7711.79,1196392.06,urban,0
20,56,783.21,6.99,10.42,88.98,88.41,11,30.91,3758.25,3567866.78,urban,0
31,306,450.8,6.87,10.75,93.91,83.22,9,64.59,2693.55,6038660.56,urban,0
33,487,13.12,10.26,6.14,66.65,55.65,19,59.6,3247.34,3648030.96,urban,0
21,509,93.64,7.95,5.39,45.04,95.43,14,85.03,3863.02,1620774.71,urban,1
32,423,40.11,8.32,8.3,84.22,87.33,18,52.07,8947.73,3831784.95,urban,0
4,106,108.13,11.5,9.55,81.86,70.99,15,50.96,874.61,6876971.4,urban,0
5,73,59.43,10.52,3.91,63.39,71.59,28,76.61,13766.34,3102561.66,rural,0
10,57,6818.4,11.86,1.88,52.73,92.55,18,76.63,7644.48,4039081.35,urban,0
22,206,55.42,8.84,7.1,55.25,96.34,13,68.96,1467.6,3594456.82,urban,0
18,230,746.46,4.55,7.45,81.19,60.93,9,57.27,8738.89,5146075.24,urban,0
28,215,72.17,8.58,8.5,85.74,92.42,13,79.69,2964.19,2225475.7,rural,0
10,343,798.88,8.36,3.94,77.01,63.66,20,36.66,16380.12,2877323.95,urban,0
25,488,1490.43,5.51,4.99,82.87,72.99,15,36.66,2798.72,2681656.66,urban,0
15,201,366.0,4.83,5.26,67.29,58.92,15,61.63,614.84,2176394.79,rural,0
19,411,946.6,13.79,3.86,58.87,85.83,18,81.93,9983.27,1541239.48,rural,0
24,282,240.4,9.38,7.49,76.38,67.99,14,64.44,1048.08,3731824.36,rural,0
22,83,140.07,9.06,6.26,84.05,82.91,11,69.44,2630.42,528394.29,urban,0
23,441,164.51,8.05,2.59,72.07,46.47,10,51.08,485.22,329943.25,urban,1
9,390,1854.09,5.38,1.88,63.83,85.61,17,59.12,7484.39,2105683.28,urban,0
10,381,30.78,9.98,2.16,82.03,77.19,14,78.41,6629.94,1242790.12,urban,0
17,13,118.68,10.51,1.8,79.28,76.67,11,72.89,3927.6,3008949.14,rural,0
19,426,51.46,14.31,1.69,71.5,59.34,16,48.41,12397.74,3948522.09,urban,0
13,363,9.56,10.39,3.86,67.13,93.8,22,88.97,3298.79,1149956.13,urban,0
5,228,455.11,7.77,1.52,79.07,80.89,19,62.34,1881.52,2215644.23,rural,0
34,375,1092.43,10.08,4.53,69.84,96.49,14,61.06,3181.46,719054.48,urban,0
12,424,91.18,13.0,5.26,88.54,89.97,16,56.18,9186.67,5941564.02,urban,0
27,252,139.75,6.54,5.63,64.98,94.08,11,86.97,4514.07,4778194.23,rural,0
15,481,35.56,9.42,1.58,94.32,84.71,10,37.11,1965.42,1476867.7,rural,0
21,369,326.16,5.85,4.61,93.3,91.25,9,82.28,12023.63,3447141.03,urban,0
8,126,30.04,11.52,14.44,66.11,89.81,13,51.81,6499.03,1303800.75,urban,0
5,503,67.0,10.72,0.96,68.41,87.37,16,58.01,5792.04,3332628.42,rural,0
6,225,496.24,6.24,7.44,66.25,93.06,11,45.98,13788.93,984695.88,urban,1
31,43,84.24,4.88,2.73,92.17,76.97,7,72.03,244.31,1434819.12,rural,1
19,422,721.15,8.8,6.58,79.46,85.54,18,80.39,1582.9,11465777.5,urban,0
5,408,3109.35,7.94,6.53,85.34,76.62,20,45.56,20983.5,3381062.0,rural,0
25,403,158.06,1.27,13.19,87.05,91.47,10,59.58,359.69,3200299.35,urban,0
7,416,111.74,12.45,6.65,65.4,71.58,14,55.16,6211.69,1890138.36,urban,0
8,395,47.01,9.43,3.71,71.47,90.81,19,41.14,4687.61,1393440.22,urban,0
3,77,265.96,8.09,3.26,74.57,72.12,16,72.89,2021.26,726213.12,urban,1
18,492,137.32,7.65,5.22,79.69,61.42,16,89.36,9273.0,1813492.05,urban,0
14,46,23.51,7.92,6.33,67.91,50.81,15,35.75,1174.78,7527732.99,rural,0
21,400,8849.5,9.19,2.14,86.03,98.43,3,47.59,4768.94,3578704.6,rural,0
27,357,210.25,6.3,1.73,74.09,96.18,18,56.01,4246.12,3273999.93,urban,0
17,2,366.04,9.95,6.36,91.11,63.43,11,91.79,8267.59,1564695.62,urban,0
7,447,532.7,6.96,5.6,69.97,83.41,23,84.48,4214.32,3583006.49,rural,0
20,429,356.8,5.76,8.06,95.46,81.34,17,86.67,6174.76,3156699.67,urban,0
12,17,42.71,9.76,3.35,72.12,96.61,10,56.55,2044.12,626300.98,urban,0
3,464,39.77,7.27,8.89,92.99,99.33,13,48.39,12764.52,1085676.96,urban,0
14,28,1000.53,8.38,3.94,78.87,76.55,20,71.35,4286.74,10287536.81,rural,0
10,206,712.04,8.55,2.99,75.4,74.53,22,30.37,1970.84,3362340.23,rural,0
2,284,13.87,7.46,2.59,91.33,91.89,17,72.53,9537.27,2410624.54,urban,0
20,237,54.44,13.12,1.54,83.14,83.99,13,82.54,2816.43,4813574.77,rural,0
1,53,113.58,10.68,8.44,89.17,84.75,11,83.6,3829.37,2576264.25,rural,0
17,273,44.43,8.0,7.68,78.62,79.46,13,86.39,3599.0,3721145.19,urban,0
31,27,215.78,10.44,18.93,78.62,96.38,15,73.4,4609.97,837033.37,rural,0
28,202,173.28,7.25,10.49,97.33,90.18,9,52.93,1406.02,15538024.75,rural,0
13,216,64.37,5.42,13.3,58.52,75.84,21,54.99,8855.83,7023108.27,urban,0
9,112,819.22,6.91,6.69,87.18,78.49,11,83.18,796.87,839571.25,rural,1
3,256,168.16,8.38,3.39,81.09,91.74,11,88.78,1110.52,1998871.74,rural,0
2,206,101.66,10.42,3.92,67.64,73.02,12,61.84,690.73,6227191.21,rural,0
34,326,24.17,8.81,2.77,94.07,66.69,20,55.02,2388.83,1837892.08,rural,0
32,277,261.59,6.14,8.97,69.98,92.92,9,93.93,3789.43,3066029.15,urban,0
17,189,3688.4,10.88,2.43,92.54,58.77,20,69.33,4055.66,5429817.14,urban,0
24,116,20.79,6.45,5.92,57.81,73.45,14,77.64,1854.38,403794.7,rural,1
28,357,18.93,6.01,6.66,92.14,81.76,27,80.92,716.16,459162.93,urban,1
16,14,76.95,8.17,6.46,79.85,89.11,13,85.4,314.22,2628358.51,rural,0
32,380,32.49,3.68,3.04,81.23,91.6,12,63.42,2698.99,1815907.69,rural,0
5,87,452.7,8.53,11.16,98.1,83.68,19,75.68,155.32,4525205.86,urban,0
12,497,89.01,9.27,12.21,63.31,80.95,17,80.55,2829.31,11144540.59,urban,0
12,344,84.1,8.62,1.37,89.53,82.62,14,66.03,1297.94,1614933.45,rural,0
27,107,73.14,11.6,11.83,76.71,95.11,18,62.96,7902.56,1012537.49,rural,0
4,398,25.94,9.1,15.33,81.61,92.07,9,61.83,3106.63,961455.58,urban,0
21,77,230.52,10.72,2.17,44.23,68.57,20,36.57,804.86,1315797.94,rural,1
24,259,105.26,6.28,9.55,53.16,89.98,12,61.9,3928.66,1151383.04,urban,1
15,507,94.82,7.03,6.21,65.58,80.12,14,23.45,14841.54,1756301.12,urban,1
33,102,13.37,7.0,11.39,73.64,85.11,9,46.15,4275.95,405376.72,rural,1
34,456,1106.18,7.85,11.43,94.58,91.94,17,46.3,9717.79,1128308.4,urban,0
18,487,29.97,6.52,3.67,79.2,75.43,16,55.43,17850.97,5498805.48,urban,0
34,345,388.45,7.9,4.63,89.45,91.6,14,86.85,7857.23,2873759.51,urban,0
19,393,51.09,5.18,5.71,77.92,94.86,15,70.99,3346.58,668208.87,urban,1
4,428,1899.62,10.95,10.25,68.78,85.27,18,69.25,9971.03,2944682.95,rural,0
15,221,513.13,3.18,2.56,73.54,93.4,12,80.67,10179.65,3294106.06,rural,0
29,46,103.25,8.86,2.66,78.37,96.94,11,71.02,3835.69,3085408.02,urban,0
13,49,813.44,5.69,7.16,91.22,85.38,15,39.51,1738.0,2353370.27,rural,0
18,14,132.9,8.52,0.29,72.67,82.73,11,32.95,122.07,969591.73,urban,1
7,303,615.4,11.52,17.86,70.68,91.63,26,47.04,2289.64,849864.55,urban,0
30,440,370.26,11.02,5.01,88.99,93.24,18,70.52,2523.87,8558922.38,urban,0
2,377,33.38,9.09,2.68,73.82,84.69,13,48.14,13451.72,5894097.09,urban,0
5,3,377.28,10.99,8.24,64.95,88.37,15,57.25,16487.02,2395098.01,urban,0
27,219,2.53,9.76,0.89,72.37,76.88,21,60.13,9736.76,1261927.6,urban,1
26,343,62.9,5.88,6.53,91.51,87.76,13,59.88,1929.37,2022805.42,rural,0
13,9,9.12,8.28,3.71,83.7,86.17,13,58.97,1271.37,2562486.31,urban,0
24,152,104.65,9.38,2.69,75.6,69.39,11,62.85,13577.62,2788534.53,urban,0
20,219,19.14,7.86,9.27,49.62,89.06,17,33.54,3151.3,1104544.2,urban,1
11,124,48.43,6.11,14.44,73.55,96.93,11,48.36,2011.37,1890477.48,urban,0
32,439,43.13,4.18,25.33,76.71,76.18,10,74.16,4268.82,2644259.36,rural,0
12,455,16.89,7.85,0.43,73.0,81.54,11,79.8,2725.58,2085446.67,urban,0
31,441,423.57,11.49,6.82,79.49,84.39,22,42.79,846.57,1049533.07,urban,1
10,56,232.66,9.36,2.83,87.86,96.88,16,57.19,4914.53,681358.35,urban,0
9,513,1.26,7.72,8.87,52.83,79.93,20,75.83,583.24,4851249.09,urban,0
15,70,88.32,10.26,10.09,81.82,74.29,10,47.33,5325.96,1576763.25,rural,0
18,15,257.55,8.56,12.57,87.86,67.32,15,32.82,316.79,1788444.54,rural,0
2,200,16.74,10.31,4.58,86.83,87.91,14,71.0,1226.02,6753827.67,urban,0
4,132,236.93,10.25,2.2,64.95,90.15,15,76.48,7537.46,1847620.22,rural,0
29,330,52.14,8.91,7.96,82.43,97.02,12,75.59,3475.86,925276.6,rural,0
32,372,1371.2,9.83,7.02,90.12,74.46,18,43.58,3656.42,1777220.22,urban,0
2,311,89.24,9.03,5.75,84.72,92.39,17,48.03,834.12,3137667.26,rural,0
15,245,1038.09,10.46,14.57,72.26,89.78,20,75.67,5163.54,7111431.11,urban,0
25,478,103.61,8.9,1.33,94.6,93.12,11,46.5,5656.28,1969155.47,urban,0
29,111,6.78,4.36,5.19,70.42,81.17,13,52.03,1674.21,1472991.34,urban,1
25,428,8763.52,8.4,9.39,79.92,85.82,20,26.77,3990.34,1816451.77,urban,0
27,108,457.72,7.75,9.77,94.15,80.77,18,91.31,2281.28,1587474.03,urban,1
26,447,96.37,13.35,1.03,70.46,96.64,11,69.45,3394.13,2354263.38,rural,0
12,43,100.57,8.67,11.26,67.15,97.47,18,57.45,12473.5,4266088.18,urban,0
26,175,180.93,12.07,11.6,77.79,69.99,22,36.89,5091.03,2504858.5,urban,0
4,144,260.46,9.57,2.01,66.84,77.01,19,86.84,3852.35,1878402.54,urban,0
26,176,444.86,9.18,3.47,82.13,83.4,15,65.0,2581.81,1708205.73,urban,0
27,466,94.91,7.62,4.69,75.34,86.53,15,49.18,4385.46,1512557.39,urban,1
12,271,25.07,6.94,4.08,65.58,88.94,24,60.73,9493.44,1064693.49,urban,1
4,444,287.09,9.12,1.79,72.18,87.16,16,25.47,1978.81,1799491.27,rural,0
2,388,7.05,5.59,3.82,66.85,80.71,13,91.36,5896.2,5036805.96,urban,0
14,294,6.7,11.35,7.24,90.09,43.05,18,57.23,9016.95,1361362.39,urban,0
5,24,90.38,7.49,3.49,88.06,85.41,18,78.94,9504.88,1407111.02,urban,0
26,339,136.97,10.21,3.27,90.19,86.4,14,87.74,780.98,2348465.4,rural,0
30,447,584.17,4.99,6.07,77.61,86.22,13,91.59,1032.49,5544416.51,rural,0
9,381,662.25,6.03,10.83,72.68,97.24,14,56.52,2355.29,1820318.07,rural,0
20,201,138.74,6.52,9.55,64.49,70.85,9,44.37,14607.75,714612.48,urban,1
13,294,186.14,8.17,3.8,94.02,97.12,8,88.76,4839.02,8197204.87,urban,0
7,176,1436.87,9.25,3.19,76.18,78.02,12,85.54,2789.64,7816328.16,urban,0
20,313,18.69,3.83,4.5,85.21,92.34,13,42.71,3851.04,1122067.28,urban,0
20,324,676.44,11.5,2.48,81.76,82.64,16,22.17,10205.75,17602057.75,rural,0
10,279,55.85,10.51,2.94,95.08,77.87,17,68.43,5228.38,1693772.67,rural,0
30,380,21.86,9.46,15.37,93.71,77.7,12,51.62,1098.43,3402670.72,rural,0
33,263,37.94,10.97,13.13,81.01,91.06,14,64.7,6190.95,875500.04,urban,0
26,89,396.64,6.24,2.45,83.75,99.17,18,71.69,1028.01,1416788.33,rural,0
25,253,214.57,1.9,2.16,83.85,96.35,23,91.61,5645.85,5077006.3,rural,0
27,437,118.18,7.6,6.65,89.42,80.92,16,84.92,5701.48,868634.47,rural,1
29,430,308.69,5.49,11.1,59.1,96.62,13,25.28,467.85,8003341.53,urban,0
15,334,40.35,6.54,4.67,77.96,66.19,16,67.14,2153.04,589971.96,urban,1
28,510,40.95,7.56,5.11,57.91,74.01,17,60.85,2662.87,2413777.87,urban,0
4,22,235.77,6.56,3.72,88.46,85.31,13,67.0,392.8,466030.05,rural,0
10,353,358.27,6.5,2.78,52.39,84.62,14,57.56,921.39,2275296.64,rural,0
29,103,84.2,6.48,3.21,74.22,72.0,18,39.66,7502.97,323553.63,urban,1
9,323,3988.04,8.04,2.57,94.05,90.57,17,62.68,679.5,3695459.56,urban,0
15,269,75.31,8.24,8.79,69.97,94.33,14,64.13,4506.47,845703.14,rural,0
10,232,31.54,7.62,9.31,72.28,92.01,19,58.25,12985.61,4104119.11,rural,0
21,214,85.0,6.65,13.42,87.55,70.67,15,44.56,941.71,712136.0,urban,1
2,329,58.47,10.58,13.62,90.66,86.55,15,69.24,776.17,4593686.73,urban,0
11,477,91.93,8.2,13.58,62.17,84.63,17,79.93,7427.35,976622.29,urban,1
13,456,604.54,8.31,1.08,57.99,91.65,15,89.6,6024.66,2400473.95,rural,0
18,449,130.6,7.89,8.28,85.39,96.07,16,57.17,16839.27,1391692.45,urban,0
29,207,10.68,7.77,3.28,85.39,93.63,9,67.55,12275.73,2409769.58,urban,0
9,57,4.24,9.32,3.24,94.21,78.25,10,88.92,5745.63,10212633.22,urban,0
27,456,162.42,9.62,8.04,81.82,95.79,12,36.97,1838.12,2463785.47,rural,0
4,157,127.58,13.15,2.9,93.51,97.51,22,77.51,9253.51,2119755.85,urban,0
11,104,1366.99,9.46,4.75,74.48,77.67,13,78.35,634.09,2323629.88,rural,0
26,261,181.7,6.0,9.07,92.82,96.42,9,45.36,18370.07,3034089.67,urban,0
8,77,362.19,8.55,5.28,71.81,91.81,23,72.26,2669.26,2137059.05,urban,0
27,247,1205.45,8.46,6.45,69.22,79.44,18,60.6,4096.98,445224.4,urban,1
30,167,6101.3,8.95,2.72,90.88,98.53,17,46.14,1875.59,2564922.14,rural,0
12,93,73.09,4.12,2.49,81.4,95.58,16,51.76,5032.24,1914466.72,urban,0
15,59,68.94,8.94,10.17,68.75,74.17,13,49.96,158.33,1010991.12,rural,1
31,131,157.44,3.51,0.21,86.63,99.32,14,65.0,3726.67,1903606.68,urban,0
23,192,173.41,7.46,14.16,76.8,68.55,18,56.17,4043.39,3590933.1,rural,0
22,287,67.27,8.57,4.9,91.76,96.04,17,88.08,6714.29,2282801.23,rural,0
1,496,113.02,10.15,12.34,78.76,91.51,25,64.27,20324.3,3326062.72,rural,0
17,229,633.08,7.64,1.79,93.49,76.95,17,75.66,2299.79,2526111.18,urban,0
21,404,217.82,8.17,10.02,95.92,86.05,24,50.51,852.83,797407.81,urban,0
9,80,489.0,6.01,2.0,80.14,78.17,18,38.15,4578.28,2649263.61,urban,0
34,474,38.65,6.34,8.51,53.48,90.63,17,80.35,2521.29,976543.9,rural,1
22,142,78.1,11.08,9.47,82.76,81.97,13,61.58,636.16,566715.66,rural,0
8,63,68.83,12.68,6.97,72.65,95.97,16,54.13,3926.97,1005855.14,urban,0
7,439,529.71,9.41,4.89,91.89,86.76,15,71.17,1513.06,2013000.73,rural,0
21,40,18.65,7.77,2.37,61.31,76.62,19,73.71,1730.06,6037802.57,urban,0
34,53,560.55,5.28,1.84,84.62,75.84,12,82.35,6503.55,7564028.54,urban,0
18,150,6.63,6.97,11.08,66.22,82.71,20,39.55,5709.1,2589017.14,rural,0
31,447,137.59,8.25,5.41,83.3,98.33,17,34.06,15618.75,1537829.34,urban,0
14,395,67.41,11.8,4.13,83.65,57.24,9,50.99,10155.62,15429693.75,rural,0
8,261,302.46,7.41,4.11,68.69,94.39,19,52.52,945.69,6694141.51,urban,0
